year,semester,carleton_code,uottawa_code,course_name,professor,outline_link
2013,winter,COMP 1006,,Introduction to Computer Science II ,Jason Hinek 	,https://service.scs.carleton.ca/sites/default/files/course_outlines/2013_winter_comp1006.pdf
2013,winter,COMP 1405A,COMP 1005,Introduction to Computer Science I ,Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/2013_winter_comp1005.pdf
2013,winter,COMP 1406,,Introduction to Computer Science II,Mark Lanthier ,https://service.scs.carleton.ca/sites/default/files/course_outlines/2013_winter_comp1406.pdf
2013,winter,COMP 1501,,Introduction to Computer Game Design ,David Mould,
2013,winter,COMP 1805,MATH 1805,Discrete Structures I,Dr. Prosenjit Bose,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp1805_winter_2013.pdf
2013,winter,COMP 1805C,MATH 1805,Discrete Structures I  ,Doron Nussbaum,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp1805C_winter_2013.pdf
2013,winter,COMP 1807,,Introduction to Robotics ,Dr Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp1807_winter_2013.pdf
2013,winter,COMP 2401,COMP 2001,Introduction to Systems Programming,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp2401_winter_2013.pdf
2013,winter,COMP 2402,COMP 2002,Data Structures ,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp2402_winter_2013.pdf
2013,winter,COMP 2404,COMP 2004,Introduction to Software Engineering ,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp2404_winter_2013.pdf
2013,winter,COMP 2406,,Fundamentals of Web Applications ,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp2406_winter_2013.pdf
2013,winter,COMP 3000,,Operating Systems,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3000_winter_2013.pdf
2013,winter,COMP 3004B,,Object-Oriented Software Development,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3004B_winter_2013.pdf
2013,winter,COMP 3008,,Human Computer Interaction,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3008_winter_2013.pdf
2013,winter,COMP 4102A,,Introduction to Computer Vision,Dr. Gerhard Roth,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4102_winter_2013.pdf
2013,winter,COMP 4109,,Applied Cryptography,Jeremy Clark,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4109_winter_2013.pdf
2013,winter,COMP 4203,,Wireless Networks and Security,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4203_winter_2013.pdf
2013,winter,COMP 4501,,Advanced Computer Game Design and Development,Wilf Lalonde,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4501_winter_2013.pdf
2013,winter,COMP 4804,,Design and Analysis of Algorithms II,Prosenjit Bose,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4804_winter_2013.pdf
2013,winter,COMP 5900V,CSI 5140,Computer Security & Usability,Sonia Chiasson,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp5900v_winter_2013.pdf
2013,fall,COMP 1004A,,Intro to Computers for Science,I. Reichstein,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline%202013.pdf
2013,fall,COMP 1005A,,Introduction to Computer Science 1,Gail Carmichael,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp_1005_course_outline_fall2013_carmichael.pdf
2013,fall,COMP 1405,,Introduction to Computer Science,Pat Morin,https://service.scs.carleton.ca/sites/default/files/course_outlines/course-outline_0.pdf
2013,fall,COMP 1406A,1006,Introduction to Computer Science II,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/1406.pdf
2013,fall,COMP 1805A,,Discrete Strutures,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/1805.pdf
2013,fall,COMP 2401A,,Introduction to Systems Programming,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_0.pdf
2013,fall,COMP 2402A,,Data Structures,Pat Morin,https://service.scs.carleton.ca/sites/default/files/course_outlines/course-outline_1.pdf
2013,fall,COMP 2404A,,Intro To Software Engineering,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2404fall2013outline.pdf
2013,fall,COMP 2406,,Fundamentals of Web Applications,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/Fundamentals%20of%20Web%20Applications%20%28Fall%202013%29.pdf
2013,fall,COMP 2804,,Discrete Structures II,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_1.pdf
2013,fall,COMP 3000A,,Operating Systems,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/3000%20outline.docx
